acc_ref,beat_no,severity,no_vehicle,no_casualt,a_date,a_day,a_date_day,a_date_mon,a_date_yr,a_time_hr,a_time_min,loc_auth,road1_class,road1_no,road_type,speed_limi,junc_det,junc_ctrl,road2_class,road2_no,light_cond,weather,road_surf,spec_cond,cway_hzrds,ovrtk_patrn,easting,northing,net_id,net_type,acc_type,text_id,division,Postcode,ped_xing_hc,ped_xing_p,place_reported,latitude,longitude
9111,,Slight,2,1,05/01/2011,Wednesday,5,January,11,17,0,230,Unclassified,,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,,Darkness: street lights present and lit,Raining (without high winds),Dry,None,None,No overtaking,326270,673460,558290,Segment,Cyclist,365399,unset,EH89UY,Control by other authorised person,"Pelican, puffin, toucan or similar non-junction pedestrian light crossing",At scene,55.94855316,-3.180757921
10111,,Slight,1,1,06/01/2011,Thursday,6,January,11,10,45,230,B,701,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,319200,673720,551723,Segment,Bus,365400,unset,EH128TD,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene,55.94975223,-3.294028134
12611,,Slight,2,2,07/01/2011,Friday,7,January,11,8,0,230,A,8,Single carriageway - 2 lanes,30,'T' or staggered junction,Give way sign or markings,Unclassified,,Darkness: street lights present and lit,Fine (without high winds),Dry,None,None,No overtaking,323690,673230,521301,Junction,T.V.N.P.,365401,unset,EH125JH,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,Elsewhere,55.94608415,-3.222000168
14011,,Slight,2,1,06/01/2011,Thursday,6,January,11,14,50,230,A,772,Single carriageway - 2 lanes,30,Other junction,Give way sign or markings,Unclassified,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,328660,669330,530215,Junction,Cyclist,365402,unset,EH177JG,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene,55.9118097,-3.141400332
14411,,Slight,2,1,07/01/2011,Friday,7,January,11,18,15,230,Unclassified,,Single carriageway - 2 lanes,30,Using private drive or entrance,Give way sign or markings,Unclassified,,Darkness: street lights present and lit,Snowing (without high winds),Dry,None,None,No overtaking,326310,673070,521592,Junction,T.V.N.P.,365403,unset,EH89RR,Control by other authorised person,"Pelican, puffin, toucan or similar non-junction pedestrian light crossing",At scene,55.94505556,-3.180010926
17111,,Slight,2,2,08/01/2011,Saturday,8,January,11,10,0,230,Unclassified,,Single carriageway - 2 lanes,30,'T' or staggered junction,Give way sign or markings,Unclassified,,Daylight: no street lighting,Other,Dry,None,None,No overtaking,312829,672239,12282105,Junction,T.V.N.P.,365404,unset,EH288QR,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene,55.93533477,-3.395549611
20611,,Serious,3,1,09/01/2011,Sunday,9,January,11,13,20,230,Unclassified,,Single carriageway - 2 lanes,30,Mini-roundabout,Give way sign or markings,Unclassified,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,324549,674069,0,Unset,Pedestrian,365405,unset,EH36AJ,Control by other authorised person,Central refuge - no other controls,At scene,55.95375719,-3.20848269
21711,,Slight,1,1,09/01/2011,Sunday,9,January,11,16,40,230,Unclassified,,Single carriageway - 2 lanes,30,'T' or staggered junction,Give way sign or markings,Unclassified,,Daylight: no street lighting,Fine (without high winds),Dry,None,None,No overtaking,320200,669500,12216331,Junction,Pedestrian,365406,unset,EH143AS,Control by other authorised person,Pedestrian phase at traffic signal junction,At scene,55.91200848,-3.276770037
22311,,Slight,1,1,09/01/2011,Sunday,9,January,11,3,30,230,A,7,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,,Daylight: no street lighting,Fine (without high winds),Dry,None,None,No overtaking,326160,673060,569460,Segment,Pedestrian,365407,unset,EH89EW,No crossing facility within 50m or physical crossing facility not controlled by authorised person,Pedestrian phase at traffic signal junction,At scene,55.9449427,-3.18240959
22411,,Slight,1,1,09/01/2011,Sunday,9,January,11,13,38,230,Unclassified,,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,,Daylight: no street lighting,Fine (without high winds),Dry,None,None,No overtaking,328570,669770,12240578,Segment,Pedestrian,365408,unset,EH177RE,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene,55.91574935,-3.142956254
23611,,Slight,1,1,10/01/2011,Monday,10,January,11,9,0,230,C,,Single carriageway - 2 lanes,30,Crossroads,Automatic Traffic Signal,Unclassified,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,326200,673540,521139,Junction,Pedestrian,365409,unset,EH89UE,Control by other authorised person,Pedestrian phase at traffic signal junction,At scene,55.94926112,-3.18190057
24711,,Slight,2,1,03/01/2011,Monday,3,January,11,8,15,230,A,71,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,,Daylight: no street lighting,Fine (without high winds),Dry,None,None,No overtaking,321990,671690,549737,Segment,T.V.N.P.,365410,unset,EH113AF,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene,55.93197633,-3.248770914
25911,,Serious,1,1,11/01/2011,Tuesday,11,January,11,14,20,230,Unclassified,,Roundabout,30,Roundabout,Give way sign or markings,Unclassified,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,327890,674590,520326,Junction,Pedestrian,365411,unset,EH76BR,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene,55.95895087,-3.155122504
26211,,Slight,1,1,11/01/2011,Tuesday,11,January,11,13,35,230,Unclassified,,Single carriageway - 2 lanes,30,Other junction,Stop sign,Unclassified,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,319350,672810,521670,Junction,Pedestrian,365412,unset,EH127TZ,Control by other authorised person,Central refuge - no other controls,At scene,55.94160241,-3.291354432
26611,,Slight,2,1,10/01/2011,Monday,10,January,11,11,45,230,Unclassified,,Single carriageway - 2 lanes,30,'T' or staggered junction,Give way sign or markings,C,,Daylight: no street lighting,Raining (without high winds),Dry,None,None,No overtaking,321930,672480,521916,Junction,T.V.N.P.,365413,unset,EH125TT,No crossing facility within 50m or physical crossing facility not controlled by authorised person,"Pelican, puffin, toucan or similar non-junction pedestrian light crossing",At scene,55.93906372,-3.24995965
30311,,Slight,3,1,12/01/2011,Wednesday,12,January,11,17,0,230,B,6415,Single carriageway - 2 lanes,30,Other junction,Give way sign or markings,Unclassified,,Darkness: street lights present and lit,Other,Dry,None,None,No overtaking,330440,673970,523581,Junction,Cyclist,365414,unset,EH151AL,Control by other authorised person,"Pelican, puffin, toucan or similar non-junction pedestrian light crossing",Elsewhere,55.95375673,-3.114123158
35411,,Slight,2,1,14/01/2011,Friday,14,January,11,12,30,230,A,902,Single carriageway - 2 lanes,30,Other junction,Automatic Traffic Signal,Unclassified,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,322230,674900,520050,Junction,T.V.N.P.,365415,unset,EH42LX,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,Elsewhere,55.96085289,-3.245855684
39511,,Slight,2,1,16/01/2011,Sunday,16,January,11,12,9,230,B,9085,Single carriageway - 2 lanes,30,Mini-roundabout,Give way sign or markings,Unclassified,,Daylight: street lights present,Fine with high winds,Dry,None,None,No overtaking,320550,675430,519747,Junction,T.V.N.P.,365416,unset,EH45BX,Control by other authorised person,Zebra crossing,At scene,55.96533926,-3.272917762
39711,,Slight,2,1,16/01/2011,Sunday,16,January,11,16,30,230,A,7,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,,Darkness: street lights present and lit,Fine (without high winds),Dry,None,None,No overtaking,327030,672030,568132,Segment,T.V.N.P.,365417,unset,EH165AQ,Control by other authorised person,Central refuge - no other controls,At scene,55.93582209,-3.168202871
39811,,Slight,2,2,15/01/2011,Saturday,15,January,11,18,45,230,Unclassified,,Single carriageway - 2 lanes,30,Other junction,Give way sign or markings,Unclassified,,Darkness: street lights present and lit,Raining (without high winds),Dry,None,None,No overtaking,328580,672710,523701,Junction,T.V.N.P.,365418,unset,EH151ST,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene,55.94216398,-3.143573973
41011,,Slight,2,1,17/01/2011,Monday,17,January,11,9,5,230,A,702,Single carriageway - 2 lanes,30,'T' or staggered junction,Give way sign or markings,Unclassified,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,324720,673630,520947,Junction,Cyclist,365419,unset,EH12DA,Control by other authorised person,Pedestrian phase at traffic signal junction,Elsewhere,55.94984011,-3.205621924
41611,,Slight,1,1,17/01/2011,Monday,17,January,11,8,30,230,A,8,Dual carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,325610,673930,550553,Segment,Pedestrian,365420,unset,EH22EJ,No crossing facility within 50m or physical crossing facility not controlled by authorised person,Pedestrian phase at traffic signal junction,At scene,55.95267387,-3.191454684
42411,,Slight,2,1,17/01/2011,Monday,17,January,11,19,0,230,Unclassified,,Single carriageway - 2 lanes,30,Crossroads,Give way sign or markings,B,701,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,328650,668460,530335,Junction,T.V.N.P.,365421,unset,EH178LG,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene,55.90399206,-3.141330688
43011,,Slight,2,1,18/01/2011,Tuesday,18,January,11,8,50,230,Unclassified,,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,328050,674950,557479,Segment,Cyclist,365422,unset,EH76EF,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene,55.9622091,-3.152656191
43111,,Slight,2,1,16/01/2011,Sunday,16,January,11,8,55,230,A,8,Dual carriageway - 2 lanes,30,'T' or staggered junction,Automatic Traffic Signal,A,702,Daylight: no street lighting,Fine (without high winds),Dry,None,None,No overtaking,324690,673670,520920,Junction,Bus,365423,unset,EH12AD,Control by other authorised person,"Pelican, puffin, toucan or similar non-junction pedestrian light crossing",At scene,55.95019476,-3.206113431
43411,,Slight,2,1,11/01/2011,Tuesday,11,January,11,12,15,230,A,8,One way Street,30,Not at or within 20 metres of junction,unset,\,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,324250,673360,561065,Segment,Cyclist,365424,unset,EH38HP,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene,55.94734063,-3.213071317
43811,,Slight,1,1,17/01/2011,Monday,17,January,11,15,50,230,A,8,Single carriageway - 2 lanes,30,'T' or staggered junction,Give way sign or markings,Unclassified,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,322920,673230,521268,Junction,Pedestrian,365425,unset,EH126AA,No crossing facility within 50m or physical crossing facility not controlled by authorised person,Pedestrian phase at traffic signal junction,Elsewhere,55.94596128,-3.234327462
44211,,Slight,2,1,18/01/2011,Tuesday,18,January,11,13,20,230,Unclassified,,Single carriageway - 2 lanes,30,Using private drive or entrance,Give way sign or markings,Unclassified,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,326010,675920,10217458,Junction,T.V.N.P.,365426,unset,EH65RQ,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene,55.97061355,-3.185596168
45511,,Slight,1,1,18/01/2011,Tuesday,18,January,11,14,15,230,B,900,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,324450,674660,554192,Segment,Pedestrian,365427,unset,EH41HX,No crossing facility within 50m or physical crossing facility not controlled by authorised person,"Pelican, puffin, toucan or similar non-junction pedestrian light crossing",Elsewhere,55.95905106,-3.210233614
47011,,Slight,1,1,19/01/2011,Wednesday,19,January,11,11,20,230,Unclassified,,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,328200,674170,2106118,Segment,Bus,365428,unset,EH87AX,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,Elsewhere,55.95522402,-3.150045885
47611,,Slight,5,1,18/01/2011,Tuesday,18,January,11,18,30,230,A,902,Single carriageway - 2 lanes,40,Not at or within 20 metres of junction,unset,\,,Darkness: street lights present and lit,Fine (without high winds),Dry,None,None,No overtaking,318450,674650,566078,Segment,M.V.N.P.,365429,unset,EH48AW,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene,55.95798018,-3.306317377
47711,,Slight,1,1,19/01/2011,Wednesday,19,January,11,13,10,230,Unclassified,,Single carriageway - 2 lanes,30,'T' or staggered junction,Give way sign or markings,C,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,325300,673060,521466,Junction,Pedestrian,365430,unset,EH39EN,Control by other authorised person,Pedestrian phase at traffic signal junction,Elsewhere,55.94480982,-3.196177527
48411,,Slight,2,1,19/01/2011,Wednesday,19,January,11,18,38,230,Unclassified,,Roundabout,30,Roundabout,Give way sign or markings,Unclassified,,Darkness: street lights present and lit,Fine (without high winds),Dry,None,None,No overtaking,319190,671820,9658557,Junction,Cyclist,365431,unset,EH129EU,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene,55.93268182,-3.293619135
49011,,Serious,1,2,20/01/2011,Thursday,20,January,11,8,20,230,Unclassified,,Single carriageway - 2 lanes,40,Crossroads,Automatic Traffic Signal,Unclassified,,Daylight: street lighting unknown,Fine (without high winds),Dry,None,None,No overtaking,312160,672830,517558,Junction,Pedestrian,365432,unset,EH288SJ,Control by other authorised person,"Pelican, puffin, toucan or similar non-junction pedestrian light crossing",Elsewhere,55.94052205,-3.40644862
49911,,Slight,1,1,20/01/2011,Thursday,20,January,11,12,30,230,A,1,Single carriageway - 2 lanes,30,Crossroads,Automatic Traffic Signal,Unclassified,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,328330,674160,523374,Junction,Pedestrian,365433,unset,EH87AA,Control by other authorised person,Pedestrian phase at traffic signal junction,At scene,55.95515359,-3.147961441
50511,,Slight,2,1,20/01/2011,Thursday,20,January,11,13,30,230,Unclassified,,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,329290,673410,0,Unset,T.V.N.P.,365434,unset,EH87RL,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,Elsewhere,55.94855779,-3.132391509
51111,,Slight,1,1,19/01/2011,Wednesday,19,January,11,17,30,230,B,6415,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,,Darkness: street lights present but unlit,Fine (without high winds),Dry,None,None,No overtaking,330350,674060,523470,Junction,Pedestrian,365435,unset,EH151AN,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,Elsewhere,55.95455226,-3.11558761
51711,,Slight,2,1,18/01/2011,Tuesday,18,January,11,17,50,230,Unclassified,,Single carriageway - 2 lanes,30,'T' or staggered junction,Give way sign or markings,Unclassified,,Darkness: street lights present and lit,Fine (without high winds),Dry,None,None,No overtaking,320340,670830,0,Unset,T.V.N.P.,365436,unset,EH114SB,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,Elsewhere,55.92397992,-3.274922841
52211,,Slight,1,1,20/01/2011,Thursday,20,January,11,21,0,230,A,90,Single carriageway - 2 lanes,30,'T' or staggered junction,Automatic Traffic Signal,Unclassified,,Daylight: no street lighting,Unknown,Dry,None,None,No overtaking,324440,673840,520896,Junction,Pedestrian,365437,unset,EH37TT,No crossing facility within 50m or physical crossing facility not controlled by authorised person,Pedestrian phase at traffic signal junction,At scene,55.95168277,-3.210163899
53311,,Slight,2,1,19/01/2011,Wednesday,19,January,11,18,10,230,A,900,Roundabout,30,Roundabout,Give way sign or markings,B,1350,Darkness: street lights present and lit,Fine (without high winds),Dry,None,None,No overtaking,326140,674490,520239,Junction,Cyclist,365438,unset,EH13AF,Control by other authorised person,"Pelican, puffin, toucan or similar non-junction pedestrian light crossing",Elsewhere,55.95778661,-3.18312152
54511,,Slight,1,1,21/01/2011,Friday,21,January,11,18,30,230,A,900,Single carriageway - 2 lanes,30,'T' or staggered junction,Give way sign or markings,Unclassified,,Darkness: street lights present and lit,Fine (without high winds),Dry,None,None,No overtaking,326520,675060,2578457,Junction,Pedestrian,365439,unset,EH74NZ,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,Elsewhere,55.96296571,-3.177191399
55411,,Slight,2,1,21/01/2011,Friday,21,January,11,7,30,230,C,,Roundabout,30,Roundabout,Give way sign or markings,B,901,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,325750,674660,520200,Junction,Cyclist,365440,unset,EH36LX,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,Elsewhere,55.95925375,-3.189414037
56511,,Slight,2,2,22/01/2011,Saturday,22,January,11,22,40,230,A,70,Single carriageway - 2 lanes,40,Not at or within 20 metres of junction,unset,\,,Darkness: street lights present and lit,Fine (without high winds),Dry,None,None,No overtaking,321700,670480,561808,Segment,T.V.N.P.,365441,unset,EH142LZ,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,Elsewhere,55.92105892,-3.253061092
56611,,Slight,1,1,22/01/2011,Saturday,22,January,11,21,30,230,A,7,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,,Darkness: street lights present and lit,Fine (without high winds),Dry,None,None,No overtaking,326110,673140,569282,Segment,Pedestrian,365442,unset,EH89BZ,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,Elsewhere,55.94565373,-3.183231971
57011,,Slight,2,4,23/01/2011,Sunday,23,January,11,3,40,230,A,701,Single carriageway - 2 lanes,30,Crossroads,Automatic Traffic Signal,Unclassified,,Darkness: street lights present and lit,Fine (without high winds),Dry,None,None,No overtaking,327190,671010,523077,Junction,T.V.N.P.,365444,unset,EH165PD,No crossing facility within 50m or physical crossing facility not controlled by authorised person,Pedestrian phase at traffic signal junction,Elsewhere,55.92668268,-3.165366868
58911,,Serious,2,1,23/01/2011,Sunday,23,January,11,20,20,230,C,,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,,Darkness: street lights present and lit,Fine (without high winds),Dry,None,None,No overtaking,329780,673310,553606,Segment,T.V.N.P.,365445,unset,EH151NE,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene,55.94773123,-3.124520027
60511,,Slight,1,1,24/01/2011,Monday,24,January,11,8,30,230,Unclassified,,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,,Daylight: no street lighting,Fine (without high winds),Dry,None,None,No overtaking,320600,671760,565352,Segment,Pedestrian,365446,unset,EH113NR,Control by other authorised person,"Pelican, puffin, toucan or similar non-junction pedestrian light crossing",At scene,55.93237769,-3.271036286
61911,,Slight,2,1,20/01/2011,Thursday,20,January,11,11,20,230,A,71,Dual carriageway - 2 lanes,40,Other junction,Give way sign or markings,C,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,321220,671440,529537,Junction,T.V.N.P.,365447,unset,EH113LJ,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene,55.92960489,-3.26102065
62311,,Slight,1,1,25/01/2011,Tuesday,25,January,11,12,20,230,C,,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,323280,676920,559694,Segment,Pedestrian,365448,unset,EH51HP,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene,55.97916885,-3.229614813
63111,,Serious,2,3,21/01/2011,Friday,21,January,11,12,54,230,Unclassified,,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,,Daylight: no street lighting,Fine (without high winds),Dry,None,None,No overtaking,312380,674090,10261158,Segment,T.V.N.P.,365449,unset,EH299DY,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene,55.95188094,-3.40333662
63711,,Slight,2,1,25/01/2011,Tuesday,25,January,11,12,30,230,A,8,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,319260,672910,550674,Segment,T.V.N.P.,365450,unset,EH128HH,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,Elsewhere,55.94248565,-3.292825013
64411,,Slight,1,1,25/01/2011,Tuesday,25,January,11,13,45,230,Unclassified,,Single carriageway - 2 lanes,30,'T' or staggered junction,Automatic Traffic Signal,Unclassified,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,323140,671990,522267,Junction,Pedestrian,365451,unset,EH111PR,Control by other authorised person,Pedestrian phase at traffic signal junction,At scene,55.93485664,-3.230452142
64911,,Slight,2,1,26/01/2011,Wednesday,26,January,11,19,37,230,Unclassified,,Single carriageway - 2 lanes,40,'T' or staggered junction,Give way sign or markings,Unclassified,,Darkness: street lights present and lit,Fine (without high winds),Dry,None,None,No overtaking,312400,672540,12231700,Junction,T.V.N.P.,365452,unset,EH288PJ,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene,55.93796073,-3.402513012
65211,,Slight,1,1,26/01/2011,Wednesday,26,January,11,17,0,230,Unclassified,,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,,Darkness: street lights present and lit,Fine (without high winds),Dry,None,None,No overtaking,324270,672980,559245,Segment,Bus,365453,unset,EH38AX,Control by other authorised person,"Pelican, puffin, toucan or similar non-junction pedestrian light crossing",At scene,55.94392993,-3.212644419
66511,,Fatal,2,3,26/01/2011,Wednesday,26,January,11,11,45,230,A,71,Single carriageway - 2 lanes,50,Not at or within 20 metres of junction,unset,\,,Daylight: no street lighting,Fine (without high winds),Dry,None,None,No overtaking,313460,668610,549671,Segment,T.V.N.P.,365454,unset,EH278ED,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene,55.90284858,-3.384288623
66811,,Slight,1,1,27/01/2011,Thursday,27,January,11,0,4,230,A,900,Dual carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,,Darkness: street lights present and lit,Fine (without high winds),Dry,None,None,No overtaking,326050,674390,558509,Segment,Bus,365455,unset,EH13AA,Control by other authorised person,Pedestrian phase at traffic signal junction,Elsewhere,55.95687438,-3.184535394
67211,,Slight,1,1,23/01/2011,Sunday,23,January,11,20,15,230,A,903,Single carriageway - 2 lanes,30,'T' or staggered junction,Give way sign or markings,Unclassified,,Darkness: street lights present and lit,Fine (without high winds),Dry,None,Any animal in carriagway (except riden hors,No overtaking,324160,676900,519025,Junction,S.V.N.P.,365456,unset,EH51AJ,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene,55.97912901,-3.215508741
