acc_ref,beat_no,severity,no_vehicle,no_casualt,a_date,a_day,a_date_day,a_date_mon,a_date_yr,a_time_hr,a_time_min,loc_auth,road1_class,road1_no,road_type,speed_limi,junc_det,junc_ctrl,road2_class,road2_no,light_cond,weather,road_surf,spec_cond,cway_hzrds,ovrtk_patrn,easting,northing,net_id,net_type,acc_type,text_id,division,Postcode,ped_xing_hc,ped_xing_p,place_reported,latitude,longitude
28210,,Slight,1,1,11/01/2010,Monday,11,January,10,22,37,230,B,924,Single carriageway - 3 lanes,70,Slip road,Give way sign or markings,A,90,Darkness: no street lighting,Fine (without high winds),Dry,None,None,No overtaking,316150,676970,0,Unset,S.V.N.P.,344605,unset,EH309TR,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene,55.97842557,-3.343871212
29410,,Slight,2,3,09/01/2010,Saturday,9,January,10,11,48,230,A,701,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,,Daylight: street lights present,Snowing (without high winds),Dry,None,None,No overtaking,327130,671090,569333,Segment,Bus,344606,unset,EH165PT,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,Elsewhere,55.92739231,-3.166348568
33110,,Serious,2,2,13/01/2010,Wednesday,13,January,10,16,20,230,A,720,Dual carriageway - 2 lanes,70,Not at or within 20 metres of junction,unset,\,,Darkness: no street lighting,Fine (without high winds),Dry,None,None,No overtaking,324410,667820,570546,Segment,T.V.N.P.,344607,unset,EH107DS,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene,55.89759525,-3.208959326
33610,,Serious,1,1,13/01/2010,Wednesday,13,January,10,19,0,230,A,8,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,,Darkness: street lights present and lit,Raining (without high winds),Dry,None,None,No overtaking,320010,672930,550692,Segment,Pedestrian,344608,unset,EH127SD,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene,55.94279071,-3.280825184
33710,,Slight,2,1,13/01/2010,Wednesday,13,January,10,17,0,230,A,90,Dual carriageway - 2 lanes,70,Not at or within 20 metres of junction,unset,\,,Darkness: no street lighting,Fine (without high winds),Dry,None,None,No overtaking,316620,676640,555432,Segment,T.V.N.P.,344609,unset,EH309TQ,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene,55.97554293,-3.336238573
36210,,Slight,2,1,14/01/2010,Thursday,14,January,10,9,20,230,Unclassified,,Single carriageway - 2 lanes,60,'T' or staggered junction,Give way sign or markings,Unclassified,,Daylight: no street lighting,Snowing (without high winds),Dry,None,None,No overtaking,312170,669540,12231740,Junction,Pedestrian,344610,unset,EH278BBA,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene,55.91096932,-3.405218562
37610,,Slight,1,1,15/01/2010,Friday,15,January,10,8,25,230,Unclassified,,Single carriageway - 2 lanes,30,Crossroads,Automatic Traffic Signal,A,900,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,326380,674900,520266,Junction,Pedestrian,344611,unset,EH74LT,Control by other authorised person,Pedestrian phase at traffic signal junction,Elsewhere,55.96150685,-3.179390025
39410,,Slight,2,3,15/01/2010,Friday,15,January,10,12,27,230,C,,Single carriageway - 2 lanes,30,'T' or staggered junction,Give way sign or markings,Unclassified,,Daylight: no street lighting,Fine (without high winds),Dry,None,None,No overtaking,326840,674130,520698,Junction,Bus,344612,unset,EH88EB,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene,55.95465951,-3.17181355
42310,,Slight,2,1,15/01/2010,Friday,15,January,10,21,37,230,A,8,Dual carriageway - 2 lanes,40,'T' or staggered junction,Automatic Traffic Signal,A,902,Darkness: street lights present and lit,Fine (without high winds),Dry,None,None,No overtaking,318070,672730,521634,Junction,T.V.N.P.,344613,unset,EH128LU,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene,55.94066728,-3.311819291
42410,,Slight,2,1,15/01/2010,Friday,15,January,10,19,36,230,Unclassified,,Single carriageway - 2 lanes,30,Roundabout,Give way sign or markings,Unclassified,,Darkness: street lighting unknown,Other,Dry,None,None,No overtaking,326980,672690,531412,Junction,Cyclist,344614,unset,EH87AT,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene,55.94174391,-3.169181758
43510,,Serious,2,1,16/01/2010,Saturday,16,January,10,11,0,230,C,,Single carriageway - 2 lanes,30,Crossroads,Automatic Traffic Signal,Unclassified,,Daylight: street lights present,Raining (without high winds),Dry,None,None,No overtaking,325100,673220,521478,Junction,T.V.N.P.,344615,unset,EH12LE,Control by other authorised person,Pedestrian phase at traffic signal junction,At scene,55.94621611,-3.199423788
44010,,Slight,1,1,16/01/2010,Saturday,16,January,10,15,21,230,C,,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,325160,675020,566675,Segment,Pedestrian,344616,unset,EH35HW,Control by other authorised person,Central refuge - no other controls,Elsewhere,55.96239638,-3.198962944
44710,,Slight,1,1,16/01/2010,Saturday,16,January,10,19,41,230,A,8,Dual carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,,Darkness: street lights present and lit,Fine (without high winds),Dry,None,None,No overtaking,324640,673660,550514,Segment,Pedestrian,344617,unset,EH24RG,Control by other authorised person,"Pelican, puffin, toucan or similar non-junction pedestrian light crossing",At scene,55.95009709,-3.206911203
45910,,Slight,2,1,16/01/2010,Saturday,16,January,10,17,15,230,A,8,Unknown,40,Not at or within 20 metres of junction,unset,\,,Darkness: street lights present and lit,Fine (without high winds),Dry,None,None,No overtaking,318740,672810,550649,Segment,T.V.N.P.,344618,unset,EH128LP,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene,55.94149968,-3.301118829
46310,,Serious,1,1,15/01/2010,Friday,15,January,10,0,30,230,Unclassified,,One way Street,30,Not at or within 20 metres of junction,unset,\,,Darkness: street lights present and lit,Fine (without high winds),Dry,None,None,No overtaking,324450,672900,559553,Segment,Pedestrian,344619,unset,EH38AP,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene,55.94323955,-3.209740444
46510,,Slight,2,1,17/01/2010,Sunday,17,January,10,22,40,230,C,,Single carriageway - 2 lanes,30,Crossroads,Automatic Traffic Signal,Unclassified,,Darkness: street lights present and lit,Fine (without high winds),Dry,None,None,No overtaking,326520,671750,529468,Junction,T.V.N.P.,344620,unset,EH92NJ,No crossing facility within 50m or physical crossing facility not controlled by authorised person,"Pelican, puffin, toucan or similar non-junction pedestrian light crossing",At scene,55.93322891,-3.176289487
47310,,Slight,2,1,18/01/2010,Monday,18,January,10,8,20,230,A,90,Single carriageway - 2 lanes,30,'T' or staggered junction,Automatic Traffic Signal,A,90,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,324400,673850,520899,Junction,T.V.N.P.,344621,unset,EH37PT,Control by other authorised person,"Pelican, puffin, toucan or similar non-junction pedestrian light crossing",At scene,55.95176632,-3.21080718
48410,,Slight,2,1,18/01/2010,Monday,18,January,10,9,52,230,Unclassified,,Single carriageway - 2 lanes,30,'T' or staggered junction,Give way sign or markings,Unclassified,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,326450,672780,532738,Junction,T.V.N.P.,344622,unset,EH89QR,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene,55.94247167,-3.177690542
49910,,Serious,1,1,19/01/2010,Tuesday,19,January,10,8,45,230,Unclassified,,Single carriageway - 2 lanes,30,'T' or staggered junction,Give way sign or markings,Unclassified,,Daylight: street lights present,Fine (without high winds),Dry,Road works present,None,No overtaking,323800,675310,12232923,Junction,S.V.N.P.,344623,unset,EH35PA,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene,55.96478785,-3.22082713
53710,,Serious,2,1,20/01/2010,Wednesday,20,January,10,8,0,230,A,90,Single carriageway - 2 lanes,40,'T' or staggered junction,Give way sign or markings,Unclassified,,Daylight: street lights present,Raining (without high winds),Dry,None,None,No overtaking,318130,675070,519690,Junction,Cyclist,344624,unset,EH48DZ,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene,55.96169881,-3.311569426
57010,,Slight,1,1,22/01/2010,Friday,22,January,10,7,59,230,Unclassified,,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,,Daylight: street lights present,Raining (without high winds),Dry,None,None,No overtaking,323970,670850,12227587,Segment,Pedestrian,344625,unset,EH105LT,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene,55.92474705,-3.216847022
57110,,Serious,2,2,21/01/2010,Thursday,21,January,10,19,50,230,Unclassified,,Single carriageway - 2 lanes,30,'T' or staggered junction,Give way sign or markings,Unclassified,,Darkness: street lights present and lit,Raining (without high winds),Dry,None,None,No overtaking,329260,674740,523344,Junction,T.V.N.P.,344626,unset,EH76QL,No crossing facility within 50m or physical crossing facility not controlled by authorised person,Central refuge - no other controls,At scene,55.96050217,-3.13322087
57410,,Slight,2,1,21/01/2010,Thursday,21,January,10,8,25,230,A,8,Single carriageway - 2 lanes,30,'T' or staggered junction,Give way sign or markings,Unclassified,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,319490,672970,521673,Junction,T.V.N.P.,344627,unset,EH128RS,Control by other authorised person,Pedestrian phase at traffic signal junction,At scene,55.94306324,-3.289161164
57510,,Slight,2,1,22/01/2010,Friday,22,January,10,12,0,230,Unclassified,,Roundabout,30,Roundabout,Give way sign or markings,C,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,322940,675770,519397,Junction,T.V.N.P.,344628,unset,EH52DG,Control by other authorised person,"Pelican, puffin, toucan or similar non-junction pedestrian light crossing",Elsewhere,55.96878314,-3.234733518
58610,,Serious,2,1,20/01/2010,Wednesday,20,January,10,6,50,230,Unclassified,,Single carriageway - 2 lanes,30,Other junction,Give way sign or markings,Unclassified,,Darkness: street lights present and lit,Raining (without high winds),Dry,None,None,No overtaking,328760,671790,523785,Junction,Cyclist,344629,unset,EH164AW,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene,55.93392535,-3.140449578
58910,,Slight,2,1,22/01/2010,Friday,22,January,10,14,25,230,A,702,Dual carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,324860,673030,549192,Segment,Cyclist,344630,unset,EH39BN,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,Elsewhere,55.94447172,-3.203213185
60310,,Serious,1,1,23/01/2010,Saturday,23,January,10,2,15,230,Unclassified,,Single carriageway - 2 lanes,30,'T' or staggered junction,Give way sign or markings,Unclassified,,Darkness: street lights present and lit,Fine (without high winds),Dry,None,None,No overtaking,325700,673330,521541,Junction,Pedestrian,344631,unset,EH11EL,No crossing facility within 50m or physical crossing facility not controlled by authorised person,Pedestrian phase at traffic signal junction,At scene,55.94729747,-3.189848231
61310,,Slight,2,1,22/01/2010,Friday,22,January,10,23,30,230,A,772,Single carriageway - 2 lanes,30,Crossroads,Automatic Traffic Signal,B,701,Darkness: street lights present and lit,Fine (without high winds),Dry,None,None,No overtaking,329240,668680,530257,Junction,T.V.N.P.,344632,unset,EH178RQ,No crossing facility within 50m or physical crossing facility not controlled by authorised person,Pedestrian phase at traffic signal junction,At scene,55.90605565,-3.131952564
66710,,Slight,2,1,15/01/2010,Friday,15,January,10,16,50,230,Unclassified,,Roundabout,30,Roundabout,Give way sign or markings,A,71,Darkness: street lights present and lit,Raining (without high winds),Dry,None,None,No overtaking,319400,670700,529645,Junction,T.V.N.P.,344633,unset,EH114HD,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,Elsewhere,55.92265547,-3.289924067
67310,,Slight,2,1,26/01/2010,Tuesday,26,January,10,7,15,230,Unclassified,,Single carriageway - 2 lanes,30,'T' or staggered junction,Give way sign or markings,A,8,Darkness: street lights present but unlit,Other,Dry,None,None,No overtaking,312740,672670,517552,Junction,T.V.N.P.,344634,unset,EH288TA,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,Elsewhere,55.93919037,-3.397113331
68110,,Slight,1,1,26/01/2010,Tuesday,26,January,10,19,50,230,Unclassified,,Single carriageway - 2 lanes,30,'T' or staggered junction,Give way sign or markings,Unclassified,,Darkness: street lights present and lit,Fine (without high winds),Dry,None,None,No overtaking,320220,669460,533236,Junction,Pedestrian,344635,unset,EH143AU,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,Elsewhere,55.91165245,-3.276438327
68610,,Slight,2,1,21/01/2010,Thursday,21,January,10,7,35,230,B,701,Single carriageway - 2 lanes,30,'T' or staggered junction,Give way sign or markings,Unclassified,,Darkness: street lights present and lit,Fine (without high winds),Dry,None,None,No overtaking,319240,673570,520797,Junction,Cyclist,344636,unset,EH128SU,No crossing facility within 50m or physical crossing facility not controlled by authorised person,Pedestrian phase at traffic signal junction,At scene,55.94841143,-3.293342785
68810,,Slight,2,1,23/01/2010,Saturday,23,January,10,17,0,230,C,,Roundabout,30,Mini-roundabout,Give way sign or markings,Unclassified,,Darkness: street lights present and lit,Raining (without high winds),Dry,None,None,No overtaking,324080,672280,522021,Junction,Cyclist,344637,unset,EH111JS,No crossing facility within 50m or physical crossing facility not controlled by authorised person,Zebra crossing,At scene,55.93761129,-3.215489091
69110,,Slight,2,1,25/01/2010,Monday,25,January,10,20,55,230,C,,Roundabout,30,Roundabout,Give way sign or markings,A,900,Darkness: street lights present and lit,Fine (without high winds),Dry,None,None,No overtaking,326020,674370,520656,Junction,Cyclist,344638,unset,EH13JT,No crossing facility within 50m or physical crossing facility not controlled by authorised person,"Pelican, puffin, toucan or similar non-junction pedestrian light crossing",At scene,55.95669008,-3.185010331
69810,,Slight,2,2,27/01/2010,Wednesday,27,January,10,8,35,230,C,,Single carriageway - 2 lanes,40,Not at or within 20 metres of junction,unset,\,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,328380,668250,562981,Segment,T.V.N.P.,344639,unset,EH178NB,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene,55.9020653,-3.145593087
71210,,Slight,2,2,27/01/2010,Wednesday,27,January,10,20,50,230,Unclassified,,Single carriageway - 2 lanes,30,Crossroads,Automatic Traffic Signal,C,,Darkness: street lights present and lit,Fine (without high winds),Dry,None,None,No overtaking,326160,675740,519448,Junction,T.V.N.P.,344640,unset,EH65BQ,No crossing facility within 50m or physical crossing facility not controlled by authorised person,Pedestrian phase at traffic signal junction,Elsewhere,55.96901954,-3.18314383
72010,,Slight,2,1,28/01/2010,Thursday,28,January,10,18,40,230,A,71,Single carriageway - 2 lanes,30,Crossroads,Automatic Traffic Signal,Unclassified,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,322290,671860,522219,Junction,T.V.N.P.,344641,unset,EH112RT,No crossing facility within 50m or physical crossing facility not controlled by authorised person,Pedestrian phase at traffic signal junction,At scene,55.93355214,-3.244018781
72310,,Slight,1,1,28/01/2010,Thursday,28,January,10,16,0,230,A,199,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,,Daylight: street lighting unknown,Fine (without high winds),Dry,None,None,No overtaking,331350,672920,2106187,Segment,Pedestrian,344642,unset,EH152ND,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene,55.94445423,-3.099283662
73310,,Serious,1,1,28/01/2010,Thursday,28,January,10,16,10,230,A,772,Single carriageway - 2 lanes,20,Not at or within 20 metres of junction,unset,\,,Daylight: no street lighting,Fine (without high winds),Dry,None,None,No overtaking,327400,670560,569303,Segment,Pedestrian,344643,unset,EH165UD,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene,55.92267162,-3.161885504
75010,,Serious,2,1,28/01/2010,Thursday,28,January,10,16,40,230,A,70,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,322200,670800,561790,Segment,Cyclist,344644,unset,EH141LS,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,Elsewhere,55.92401483,-3.245153726
75110,,Slight,1,1,29/01/2010,Friday,29,January,10,14,30,230,Unclassified,,Single carriageway - 2 lanes,30,'T' or staggered junction,Give way sign or markings,A,772,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,328450,669500,530209,Junction,Pedestrian,344645,unset,EH177JJ,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene,55.91330582,-3.144804466
75210,,Slight,2,1,29/01/2010,Friday,29,January,10,15,30,230,Unclassified,,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,,Daylight: no street lighting,Fine (without high winds),Dry,None,None,No overtaking,314760,672660,0,Unset,T.V.N.P.,344646,unset,EH288NB,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene,55.93946294,-3.364778544
75510,,Slight,2,1,29/01/2010,Friday,29,January,10,14,0,230,A,902,Single carriageway - 2 lanes,40,'T' or staggered junction,Automatic Traffic Signal,A,90,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,318570,674930,519957,Junction,T.V.N.P.,344647,unset,EH48DZ,Control by other authorised person,Pedestrian phase at traffic signal junction,At scene,55.96051591,-3.304480313
77110,,Slight,2,1,30/01/2010,Saturday,30,January,10,13,0,230,A,90,Dual carriageway - 2 lanes,50,Not at or within 20 metres of junction,unset,\,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,312490,678540,555429,Segment,T.V.N.P.,344648,unset,EH309SQ,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene,55.99187577,-3.403021646
77310,,Slight,2,2,28/01/2010,Thursday,28,January,10,14,20,230,A,70,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,,Daylight: no street lighting,Fine (without high winds),Dry,None,None,No overtaking,318180,667780,561623,Segment,T.V.N.P.,344649,unset,EH145NU,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene,55.89621759,-3.308559512
79710,,Slight,1,1,31/01/2010,Sunday,31,January,10,10,45,230,Unclassified,,Single carriageway - 2 lanes,30,Roundabout,Give way sign or markings,Unclassified,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,322380,671370,0,Unset,Pedestrian,344650,unset,EH141QX,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,Elsewhere,55.92916465,-3.242437511
79810,,Slight,3,1,21/01/2010,Thursday,21,January,10,20,30,230,Unclassified,,Single carriageway - 2 lanes,30,Crossroads,Give way sign or markings,Unclassified,,Darkness: street lights present but unlit,Fine (without high winds),Dry,None,None,No overtaking,327170,672000,0,Unset,M.V.N.P.,344651,unset,EH165HJ,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene,55.93557379,-3.165953988
79910,,Slight,2,2,25/01/2010,Monday,25,January,10,18,0,230,A,8,Single carriageway - 2 lanes,30,'T' or staggered junction,Automatic Traffic Signal,Unclassified,,Darkness: street lights present and lit,Unknown,Dry,None,None,No overtaking,319850,672950,521703,Junction,Bus,344652,unset,EH127SL,No crossing facility within 50m or physical crossing facility not controlled by authorised person,Pedestrian phase at traffic signal junction,Elsewhere,55.94294373,-3.283392375
80310,,Slight,2,1,27/01/2010,Wednesday,27,January,10,16,0,230,A,71,Roundabout,30,Roundabout,Give way sign or markings,C,,Darkness: street lights present and lit,Fine (without high winds),Dry,None,None,No overtaking,320720,671140,529507,Junction,Cyclist,344653,unset,EH113PR,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene,55.92682763,-3.268933797
81810,,Slight,1,1,01/02/2010,Monday,1,February,10,15,30,230,B,701,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,327990,668330,2105921,Segment,Pedestrian,344751,unset,EH166RN,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene,55.90272585,-3.151851194
82310,,Slight,1,1,01/02/2010,Monday,1,February,10,0,1,230,Unclassified,,Single carriageway - 2 lanes,30,Other junction,Give way sign or markings,Unclassified,,Darkness: street lights present and lit,Raining (without high winds),Dry,None,None,No overtaking,326140,672750,532720,Junction,Pedestrian,344654,unset,EH89LR,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene,55.94215462,-3.182644895
83410,,Slight,4,2,02/02/2010,Tuesday,2,February,10,9,20,230,A,199,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,329400,675360,563293,Segment,M.V.N.P.,344752,unset,EH151TB,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene,55.96609288,-3.131141103
84410,,Serious,1,1,02/02/2010,Tuesday,2,February,10,8,15,230,A,7,Single carriageway - 2 lanes,30,'T' or staggered junction,Give way sign or markings,Unclassified,,Daylight: street lights present,Snowing (without high winds),Dry,None,None,No overtaking,325960,673590,521106,Junction,Pedestrian,344753,unset,EH11LL,Control by other authorised person,"Pelican, puffin, toucan or similar non-junction pedestrian light crossing",Elsewhere,55.9496734,-3.185756954
84910,,Slight,2,1,02/02/2010,Tuesday,2,February,10,8,10,230,A,1,Single carriageway - 2 lanes,40,'T' or staggered junction,Give way sign or markings,Unclassified,,Daylight: street lights present,Snowing (without high winds),Dry,None,None,No overtaking,331100,672900,523752,Junction,T.V.N.P.,344754,unset,EH153BA,Control by other authorised person,"Pelican, puffin, toucan or similar non-junction pedestrian light crossing",At scene,55.94423878,-3.103280938
86010,,Slight,1,1,28/01/2010,Thursday,28,January,10,8,0,230,A,902,Single carriageway - 2 lanes,30,Other junction,Give way sign or markings,Unclassified,,Daylight: no street lighting,Fine (without high winds),Dry,None,None,No overtaking,321960,674880,520002,Junction,Pedestrian,344655,unset,EH42AY,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene,55.96062943,-3.250174067
86910,,Slight,2,1,03/02/2010,Wednesday,3,February,10,11,30,230,C,,Single carriageway - 2 lanes,30,Other junction,Give way sign or markings,Unclassified,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,322860,676050,519148,Junction,T.V.N.P.,344755,unset,EH52LD,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,Elsewhere,55.97128573,-3.23609523
